category	name	day	weight	price	description
Комплексные обеды	1.1.Мазурка Чечевичный суп Колбаска куринная  Булгур ПОСТ	ПН	шт	97.00
Комплексные обеды	1.2.Пом. с огурцами салат Шпинатный суп-пюре Кнели гов. на пару Цветная капуста зап. с гор.	ПН	шт	93.00
Комплексные обеды	1.3.Отбивная свинная Картошка с укропом ПОСТ Пирог с картофелем, курицей и грибами 	ПН	шт	64.00
Комплексные обеды	1.4.Мимоза Плов с мясом  	ПН	шт	57.00
Комплексные обеды	1.5.Кнели говяжьи на пару Булгур ПОСТ  	ПН	шт	46.00
Комплексные обеды	2.1.Днестровский  Егерский суп Шницель куринный Рис отварной ПОСТ	ВТ	шт	89.00
Комплексные обеды	2.2.Капуста квашенная  Солянка мясная Печеночная котлета Капуста тушеная ПОСТ	ВТ	шт	85.00
Комплексные обеды	2.3.Морская капуста ПОСТ Бульйон кур с лапшой Жаркое с курицей Пирожок с капустой	ВТ	шт	63.00
Комплексные обеды	2.4.Днестровский  Вареники с капустой  	ВТ	шт	41.00
Комплексные обеды	2.5.Капуста квашенная  Булгур с куринными сердечками  	ВТ	шт	36.00
Комплексные обеды	3.1.Неаполитанский салат ВЕГ Отбивная телячья Гречка ПОСТ 	СР	шт	102.00
Комплексные обеды	3.2.Здоровье Рассольник Котлета веснянка Кускус ПОСТ	СР	шт	80.00
Комплексные обеды	3.3.Зелёный борщ Картошка бабушкина Сосиска в тесте 	СР	шт	65.00
Комплексные обеды	3.4.Здоровье Рисовая лапша с курицей и овощами  	СР	шт	43.00
Комплексные обеды	3.5.Шведский свекольный Картошка бабушкина  	СР	шт	37.00
Комплексные обеды	4.1.Средиземноморский салат Паста Примавера  	ЧТ	шт	95.00
Комплексные обеды	4.2.Перепелиный салат Суп с мидиями Паста Примавера 	ЧТ	шт	79.00
Комплексные обеды	4.3.Котлета свинная жаренная Рис с овощами ПОСТ Расстегай с мясом и грибами	ЧТ	шт	54.00
Комплексные обеды	4.4.Перепелиный салат Гречка с мясом и грибами  	ЧТ	шт	44.00
Комплексные обеды	4.5.Капуста свеж. с зеленью салат ПОСТ Жаркое со свининой  	ЧТ	шт	38.00
Комплексные обеды	5.1.Винегрет Стейк свинной на гриле Картошка жареная ПОСТ 	ПТ	шт	96.00
Комплексные обеды	5.2.Куриный салат Гороховый суп Паэлья 	ПТ	шт	79.00
Комплексные обеды	5.3.Греческий салат ВЕГ Макароны по-флотски Пирожок с капустой 	ПТ	шт	60.00
Комплексные обеды	5.4.Помидоры с огурцами салат ПОСТ Плов с грибами ПОСТ  	ПТ	шт	47.00
Комплексные обеды	5.5.Винегрет Макароны по-флотски  	ПТ	шт	36.00
